ticker,current_price,total_return_pct,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,max_profit_potential,upward_runs,downward_runs,momentum_score,win_rate,sma5_signal,sma20_signal
CVX,151.63999938964844,5.243483095496545,8.237536560568188,24.650151457857657,0.15162326961592676,140.52804532577903,59,59,0,54.800000000000004,SELL,SELL
COP,91.94999694824219,-15.148448518246498,-10.986161768908152,33.44924521616344,-0.4629749242121881,149.7205941658068,62,63,-1,50.4,SELL,SELL
BA,216.0,47.319606597558426,46.018266936823224,37.01400141694089,1.1216908560937369,266.5598350194112,63,63,0,53.6,SELL,SELL
CAT,500.3599853515625,28.146548452948817,29.453675199859262,29.597830630394057,0.8430913573184069,166.73380193327372,60,60,0,50.4,BUY,BUY
GE,299.3500061035156,60.11154643897078,52.80998153667211,31.96118601917277,1.5115203017714076,222.62975243115184,61,61,0,57.599999999999994,SELL,BUY
MMM,152.8800048828125,16.832595954051715,20.005810899453365,29.2672525094353,0.529800701123364,181.94257432184952,62,63,-1,51.2,SELL,SELL
DIS,110.98999786376953,20.39703589040849,23.060989853962724,29.458137864719063,0.6300802154976852,171.26830730122074,71,71,0,48.0,SELL,SELL
CMCSA,30.079999923706055,-24.04764468750012,-23.86028210384578,27.933986623601992,-1.015260817798331,117.8509032842954,70,70,0,49.6,SELL,SELL
T,26.100000381469727,27.138230588190698,26.954177566644262,22.98427255657966,0.976936620959811,175.32556606076193,65,64,1,55.2,SELL,SELL
VZ,40.83000183105469,-0.10802698854820594,2.22472454617918,21.561088146103106,-0.10552693066337868,121.81922115107773,63,64,-1,48.4,SELL,SELL
ORCL,296.9599914550781,70.97863844335191,69.88549960573319,58.015053266664694,1.127043688216409,336.0688426057748,64,63,1,54.400000000000006,BUY,BUY
ADBE,347.4700012207031,-30.9986702609578,-31.847516668964083,33.185998309570934,-1.09526663413592,121.67919460793304,63,64,-1,49.2,SELL,SELL
CRM,245.3300018310547,-14.941254357701192,-11.04552507639702,32.835373533668765,-0.4734383502735837,175.07716575156883,66,66,0,51.2,BUY,BUY
INTC,37.79999923706055,62.790699202651034,68.45004816603365,63.0592641904856,1.0141261397033943,362.446193586692,61,60,1,46.0,BUY,BUY
AMD,232.88999938964844,41.85041404500126,51.315507051211405,57.73181013848766,0.8109135490279947,254.94577451044177,57,57,0,51.2,BUY,BUY
