ticker,total_return_pct,avg_daily_return,daily_volatility,annualized_return,annualized_volatility,sharpe_ratio,risk_free_rate_annual,excess_return_annual,max_daily_gain,max_daily_loss,positive_days,negative_days,win_rate,analysis_date
KO,-1.2762676029964672,5.910231218236304e-06,0.010752763810288021,0.14893782669955485,17.06948336918245,-0.25490297973258724,4.5,-4.351062173300449,4.725025120964877,-4.441110045805778,120,127,48.0,2025-10-10 13:46:52
PEP,-13.113980769065156,-0.0004655880813358018,0.014101278340504363,-11.732819649662206,22.385085394245678,-0.7251622838943926,4.5,-16.232819649662204,7.454743181836551,-4.885419568351878,119,129,47.599999999999994,2025-10-10 13:46:52
MCD,-1.109263474239127,2.5097995540201427e-05,0.011828914000471138,0.632469487613076,18.777818835130084,-0.20596271304691902,4.5,-3.8675305123869284,4.797832150977309,-5.705851200474645,127,122,50.8,2025-10-10 13:46:52
TGT,-40.66990869624546,-0.0017698726356319507,0.024878096152946276,-44.600790417925154,39.49275330806913,-1.2432860792183087,4.5,-49.10079041792517,10.060838992636556,-21.41012050640627,118,131,47.199999999999996,2025-10-10 13:46:52
XOM,-4.992269043078619,-9.698413132659372e-05,0.014711940882352793,-2.4440001094301618,23.354482126673794,-0.29733051119550347,4.5,-6.944000109430166,4.991569318984209,-7.195592271268027,130,119,52.0,2025-10-10 13:46:52
CVX,5.243483095496545,0.00032688637145111854,0.015528135842278004,8.237536560568188,24.650151457857657,0.15162326961592676,4.5,3.737536560568181,6.645741919193417,-8.224431403287443,137,112,54.800000000000004,2025-10-10 13:46:52
COP,-15.148448518246498,-0.0004359588003534981,0.021071043901139383,-10.986161768908152,33.44924521616344,-0.4629749242121881,4.5,-15.486161768908163,10.70651544493041,-10.22619947403429,126,123,50.4,2025-10-10 13:46:52
BA,47.319606597558426,0.0018261217038421913,0.023316629232528092,46.018266936823224,37.01400141694089,1.1216908560937369,4.5,41.51826693682323,15.374135898132286,-10.471045415356627,134,115,53.6,2025-10-10 13:46:52
CAT,28.146548452948817,0.0011687966349150502,0.01864488076072209,29.453675199859262,29.597830630394057,0.8430913573184069,4.5,24.953675199859244,9.88172360245307,-8.63563452488091,126,123,50.4,2025-10-10 13:46:52
GE,60.11154643897078,0.002095634187963179,0.02013365471747753,52.80998153667211,31.96118601917277,1.5115203017714076,4.5,48.30998153667211,10.56858557708368,-11.096305784172419,144,105,57.599999999999994,2025-10-10 13:46:52
MMM,16.832595954051715,0.0007938813848989431,0.01843663611859449,20.005810899453365,29.2672525094353,0.529800701123364,4.5,15.505810899453351,8.776348306439889,-9.181341641889302,128,120,51.2,2025-10-10 13:46:52
DIS,20.39703589040849,0.0009151186449985208,0.01855688258978617,23.060989853962724,29.458137864719063,0.6300802154976852,4.5,18.56098985396271,11.894273251662968,-9.235803160115383,120,129,48.0,2025-10-10 13:46:52
CMCSA,-24.04764468750012,-0.0009468365914224516,0.017596757555394214,-23.86028210384578,27.933986623601992,-1.015260817798331,4.5,-28.360282103845798,7.125457409392425,-11.001057950644102,124,122,49.6,2025-10-10 13:46:52
T,27.138230588190698,0.0010696102208985817,0.014478730773913458,26.954177566644262,22.98427255657966,0.976936620959811,4.5,22.454177566644248,6.2500005355561745,-6.853143501919081,138,110,55.2,2025-10-10 13:46:52
VZ,-0.10802698854820594,8.828272008647538e-05,0.01358220886441226,2.22472454617918,21.561088146103106,-0.10552693066337868,4.5,-2.2752754538208184,4.137467488197441,-6.582058937926496,121,126,48.4,2025-10-10 13:46:52
ORCL,70.97863844335191,0.0027732341113386187,0.03654604839089528,69.88549960573319,58.015053266664694,1.127043688216409,4.5,65.38549960573319,35.948818304601595,-13.790843035024219,136,113,54.400000000000006,2025-10-10 13:46:52
ADBE,-30.9986702609578,-0.001263790344006511,0.02090521393727014,-31.847516668964083,33.185998309570934,-1.09526663413592,4.5,-36.34751666896408,7.247063131893381,-13.853171208411885,123,125,49.2,2025-10-10 13:46:52
CRM,-14.941254357701192,-0.0004383144871586119,0.020684341089523738,-11.04552507639702,32.835373533668765,-0.4734383502735837,4.5,-15.545525076397034,10.994792382664645,-6.006484926104369,128,121,51.2,2025-10-10 13:46:52
INTC,62.790699202651034,0.002716271752620383,0.0397236025968442,68.45004816603365,63.0592641904856,1.0141261397033943,4.5,63.950048166033646,22.771084992605388,-11.502451576475071,115,132,46.0,2025-10-10 13:46:52
AMD,41.85041404500126,0.0020363296448893415,0.03636762199143708,51.315507051211405,57.73181013848766,0.8109135490279947,4.5,46.81550705121139,23.820480081192912,-10.616537682095863,128,121,51.2,2025-10-10 13:46:52
